Participant No,speaker,start,end,duration,text
3,Silence,00:00:05.657,00:00:07.093,00:00:01.436,silence
3,Furhat,00:00:07.093,00:00:12.290,00:00:05.197,give options
3,Silence,00:00:12.290,00:00:13.410,00:00:01.120,silence
3,Participant,00:00:13.410,00:00:15.220,00:00:01.810,eh let's talk about interviews
3,DF,00:00:13.410,00:00:13.770,00:00:00.360,FP
3,Silence,00:00:15.220,00:00:16.680,00:00:01.460,silence
3,Furhat,00:00:16.680,00:00:27.906,00:00:11.226,ask advice need
3,Silence,00:00:27.906,00:00:29.330,00:00:01.424,silence
3,Participant,00:00:29.330,00:00:31.844,00:00:02.514,eh how would i prepare for an interview
3,DF,00:00:29.330,00:00:29.740,00:00:00.410,FP
3,Silence,00:00:31.844,00:00:33.184,00:00:01.340,silence
3,Furhat,00:00:33.184,00:00:33.768,00:00:00.584,CR
3,Silence,00:00:33.768,00:00:34.749,00:00:00.981,silence
3,Participant,00:00:34.749,00:00:37.650,00:00:02.901,how do i prepare for an interview
3,Silence,00:00:37.650,00:00:39.085,00:00:01.435,silence
3,Furhat,00:00:39.085,00:00:42.149,00:00:03.064,ask open question
3,Silence,00:00:42.149,00:00:45.300,00:00:03.151,silence
3,Participant,00:00:45.300,00:00:54.609,00:00:09.309,ehm i guess i would look up the company details and eh try to anpici- anticipate the questions 
3,DF,00:00:45.300,00:00:46.050,00:00:00.750,FP
3,DF,00:00:50.959,00:00:51.432,00:00:00.473,FP
3,DF,00:00:52.390,00:00:53.560,00:00:01.170,ART
3,Silence,00:00:54.609,00:00:56.314,00:00:01.705,silence
3,Furhat,00:00:56.314,00:01:13.786,00:00:17.472,give advice
3,Silence,00:01:13.786,00:01:14.920,00:00:01.134,silence
3,DF,00:01:14.920,00:01:15.500,00:00:00.580,FP
3,Participant,00:01:14.920,00:01:20.490,00:00:05.570,eh yes thank you what were my options again
3,DF,00:01:15.500,00:01:17.910,00:00:02.410,UP
3,Silence,00:01:20.490,00:01:22.001,00:00:01.511,silence
3,Furhat,00:01:22.001,00:01:23.542,00:00:01.541,CR
3,Silence,00:01:23.542,00:01:23.739,00:00:00.197,silence
3,Participant,00:01:23.739,00:01:24.966,00:00:01.227,what are my options
3,Silence,00:01:24.966,00:01:26.357,00:00:01.391,silence
3,Furhat,00:01:26.357,00:01:34.106,00:00:07.749,give options
3,Silence,00:01:34.106,00:01:34.850,00:00:00.744,silence
3,Participant,00:01:34.850,00:01:38.070,00:00:03.220,eh what can you tell me about the technical test
3,DF,00:01:34.850,00:01:35.430,00:00:00.580,FP
3,Silence,00:01:38.070,00:01:40.760,00:00:02.690,silence
3,Furhat,00:01:40.760,00:01:43.280,00:00:02.520,ask open question
3,Silence,00:01:43.280,00:01:44.515,00:00:01.235,silence
3,Participant,00:01:44.515,00:01:46.584,00:00:02.069,no i haven't had to do it before
3,Silence,00:01:46.584,00:01:47.864,00:00:01.280,silence
3,Furhat,00:01:47.864,00:02:10.491,00:00:22.627,give advice
3,Silence,00:02:10.491,00:02:12.140,00:00:01.649,silence
3,DF,00:02:12.140,00:02:12.840,00:00:00.700,FP
3,Participant,00:02:12.140,00:02:18.304,00:00:06.164,ehm no thanks to your advice i feel much better prepared now thank you
3,Silence,00:02:18.304,00:02:19.820,00:00:01.516,silence
3,Participant,00:02:19.820,00:02:20.344,00:00:00.524,i'm done
3,Furhat,00:02:19.830,00:02:23.760,00:00:03.930,ask if topic change
3,Overlap,00:02:19.830,00:02:20.344,00:00:00.514,overlap
3,Silence,00:02:23.760,00:02:25.160,00:00:01.400,silence
3,Participant,00:02:25.160,00:02:26.670,00:00:01.510,no we are done
3,Silence,00:02:26.670,00:02:28.709,00:00:02.039,silence
3,Furhat,00:02:28.709,00:02:31.322,00:00:02.613,goodbye
3,Silence,00:02:31.322,00:02:31.764,00:00:00.442,silence
3,Participant,00:02:31.764,00:02:32.470,00:00:00.706,you too
4,Furhat,00:00:00.408,00:00:01.860,00:00:01.452,greeting
4,Silence,00:00:01.860,00:00:03.796,00:00:01.936,silence
4,Participant,00:00:03.796,00:00:05.596,00:00:01.800,i need help for an interview
4,Silence,00:00:05.596,00:00:06.911,00:00:01.315,silence
4,Furhat,00:00:06.911,00:00:18.058,00:00:11.147,ask for advice need
4,Silence,00:00:18.058,00:00:18.850,00:00:00.792,silence
4,Participant,00:00:18.850,00:00:20.379,00:00:01.529,the interview questions
4,Silence,00:00:20.379,00:00:21.656,00:00:01.277,silence
4,Furhat,00:00:21.656,00:00:22.103,00:00:00.447,CR
4,Silence,00:00:22.103,00:00:22.663,00:00:00.560,silence
4,Participant,00:00:22.663,00:00:24.075,00:00:01.412,interview questions
4,Silence,00:00:24.075,00:00:25.468,00:00:01.393,silence
4,Furhat,00:00:25.468,00:00:30.656,00:00:05.188,ask open question
4,Silence,00:00:30.656,00:00:31.407,00:00:00.751,silence
4,Participant,00:00:31.407,00:00:31.972,00:00:00.565,no
4,Silence,00:00:31.972,00:00:33.421,00:00:01.449,silence
4,Furhat,00:00:33.421,00:00:50.322,00:00:16.901,give advice
4,Silence,00:00:50.322,00:00:52.251,00:00:01.929,silence
4,Participant,00:00:52.251,00:00:54.389,00:00:02.138,is there more about interview questions
4,Silence,00:00:54.389,00:00:56.157,00:00:01.768,silence
4,Furhat,00:00:56.157,00:01:01.203,00:00:05.046,ask open question
4,Silence,00:01:01.203,00:01:02.500,00:00:01.297,silence
4,Participant,00:01:02.500,00:01:05.002,00:00:02.502,what is your five year plan
4,Silence,00:01:05.002,00:01:06.521,00:00:01.519,silence
4,Furhat,00:01:06.521,00:01:23.572,00:00:17.051,give advice
4,Silence,00:01:23.572,00:01:24.100,00:00:00.528,silence
4,Participant,00:01:24.100,00:01:25.607,00:00:01.507,what are the other options
4,Silence,00:01:25.607,00:01:27.390,00:00:01.783,silence
4,Furhat,00:01:27.390,00:01:33.530,00:00:06.140,give options
4,Silence,00:01:33.530,00:01:33.958,00:00:00.428,silence
4,Participant,00:01:33.958,00:01:35.182,00:00:01.224,preparation please
4,Silence,00:01:35.182,00:01:36.399,00:00:01.217,silence
4,Furhat,00:01:36.399,00:01:37.312,00:00:00.913,CR
4,Silence,00:01:37.312,00:01:37.444,00:00:00.132,silence
4,Participant,00:01:37.444,00:01:38.313,00:00:00.869,preparation
4,Silence,00:01:38.313,00:01:39.853,00:00:01.540,silence
4,Furhat,00:01:39.853,00:01:43.262,00:00:03.409,ask open question
4,Silence,00:01:43.262,00:01:44.185,00:00:00.923,silence
4,Participant,00:01:44.185,00:01:44.961,00:00:00.776,no
4,Silence,00:01:44.961,00:01:48.470,00:00:03.509,silence
4,Furhat,00:01:48.470,00:01:49.349,00:00:00.879,no voice recognized 1st
4,Silence,00:01:49.349,00:01:50.224,00:00:00.875,silence
4,Participant,00:01:50.224,00:01:50.901,00:00:00.677,no
4,Silence,00:01:50.901,00:01:52.218,00:00:01.317,silence
4,Furhat,00:01:52.218,00:02:10.710,00:00:18.492,give advice
4,Silence,00:02:10.710,00:02:12.106,00:00:01.396,silence
4,Participant,00:02:12.106,00:02:13.157,00:00:01.051,what are my options
4,Silence,00:02:13.157,00:02:14.377,00:00:01.220,silence
4,Furhat,00:02:14.377,00:02:20.732,00:00:06.355,give options
4,Silence,00:02:20.732,00:02:21.097,00:00:00.365,silence
4,Participant,00:02:21.097,00:02:22.444,00:00:01.347,technical test
4,Silence,00:02:22.444,00:02:23.679,00:00:01.235,silence
4,Furhat,00:02:23.679,00:02:26.350,00:00:02.671,no match 1st
4,Silence,00:02:26.350,00:02:27.031,00:00:00.681,silence
4,Participant,00:02:27.031,00:02:28.283,00:00:01.252,what are my options
4,Silence,00:02:28.283,00:02:29.637,00:00:01.354,silence
4,Furhat,00:02:29.637,00:02:35.888,00:00:06.251,give options
4,Silence,00:02:35.888,00:02:36.067,00:00:00.179,silence
4,Participant,00:02:36.067,00:02:37.586,00:00:01.519,oh technical task
4,Silence,00:02:37.586,00:02:39.244,00:00:01.658,silence
4,Furhat,00:02:39.244,00:02:42.228,00:00:02.984,no match 2nd
4,Overlap,00:02:40.090,00:02:40.533,00:00:00.443,overlap
4,Participant,00:02:40.090,00:02:40.533,00:00:00.443,what
4,Silence,00:02:42.228,00:02:43.088,00:00:00.860,silence
4,Participant,00:02:43.088,00:02:44.826,00:00:01.738,yes technical task
4,Silence,00:02:44.826,00:02:47.468,00:00:02.642,silence
4,Furhat,00:02:47.468,00:02:54.760,00:00:07.292,give options
4,Silence,00:02:54.760,00:02:55.086,00:00:00.326,silence
4,Participant,00:02:55.086,00:02:56.543,00:00:01.457,technical task
4,Silence,00:02:56.543,00:02:58.226,00:00:01.683,silence
4,Furhat,00:02:58.226,00:03:02.752,00:00:04.526,no match 3rd
4,Silence,00:03:02.752,00:03:03.935,00:00:01.183,silence
4,Participant,00:03:03.935,00:03:05.824,00:00:01.889,technical task
4,Silence,00:03:05.824,00:03:07.259,00:00:01.435,silence
4,Furhat,00:03:07.259,00:03:12.335,00:00:05.076,no match 3rd
4,Overlap,00:03:08.980,00:03:11.591,00:00:02.611,overlap
4,Participant,00:03:08.980,00:03:11.591,00:00:02.611,oh test it is test after all
4,Silence,00:03:12.335,00:03:12.586,00:00:00.251,silence
4,Participant,00:03:12.586,00:03:14.128,00:00:01.542,eh technical test
4,Silence,00:03:14.128,00:03:16.051,00:00:01.923,silence
4,Furhat,00:03:16.051,00:03:18.532,00:00:02.481,ask open question
4,Silence,00:03:18.532,00:03:19.051,00:00:00.519,silence
4,Participant,00:03:19.051,00:03:21.365,00:00:02.314,i have no idea whatsoever 
4,Silence,00:03:21.365,00:03:22.570,00:00:01.205,silence
4,Furhat,00:03:22.570,00:03:46.166,00:00:23.596,give advice
4,Silence,00:03:46.166,00:03:46.380,00:00:00.214,silence
4,Participant,00:03:46.380,00:03:47.169,00:00:00.789,no thank you
4,Silence,00:03:47.169,00:03:48.568,00:00:01.399,silence
4,Furhat,00:03:48.568,00:03:52.438,00:00:03.870,ask if topic change
